experiment,model,arm,dataset_scope,expected_n,missing_record_n,missing_record_rate,vllm_response_failure_n,vllm_response_failure_rate,input_context_overflow_n,input_context_overflow_rate,timeout_n,timeout_rate,infrastructure_other_n,infrastructure_other_rate,protocol_ineligible_n,protocol_ineligible_rate,output_truncation_n,output_truncation_rate,parse_failure_n,parse_failure_rate,none_n,none_rate,infrastructure_error_rate,model_output_error_rate,any_problem_rate
cross_region,gemma-4-26b-a4b,P,aiops2022,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0
cross_region,gemma-4-26b-a4b,V,aiops2022,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0
cross_region,gemma-4-26b-a4b,H,aiops2025,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2025,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2025,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2025,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,aiops2025,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,aiops2025,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,aiops2025,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,aiops2025,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,aiops2025,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,aiops2025,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,aiops2025,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,aiops2025,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,aiops2025,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,aiops2025,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,aiops2025,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0
